food_name,energy_kcal ,fat_g,saturates_g,carbohydrate_g,sugars_g,starch_g,fibre_g,protein_g,salt_g
"Beef, mince, stewed",142,9.9,3.79,2.0,0.6,1.5,0.3,10.9,0.71
"Beef, mince, with vegetables, stewed",124,7.2,3.04,5.0,2.3,2.7,1.2,9.3,0.64
"Beef, minced, stewed with onions, extra lean",90,3.6,1.24,2.0,0.6,1.5,0.3,12.1,0.72
"Beef, rump steak, barbecued, lean",176,5.7,2.40,0.0,0.0,0.0,0.0,31.2,0.20
"Beef, rump steak, barbecued, lean and fat",203,9.4,4.00,0.0,0.0,0.0,0.0,29.5,0.19
"Beef, rump steak, fried in corn oil, lean and fat",228,12.7,4.90,0.0,0.0,0.0,0.0,28.4,0.18
"Beef, rump steak, fried in corn oil, lean only",183,6.6,2.41,0.0,0.0,0.0,0.0,30.9,0.20
"Beef, rump steak, from steakhouse, lean and fat",213,11.4,4.90,0.0,0.0,0.0,0.0,27.5,0.17
"Beef, rump steak, from steakhouse, lean only",162,4.7,2.00,0.0,0.0,0.0,0.0,29.8,0.18
"Beef, rump steak, grilled, lean only",177,5.9,2.50,0.0,0.0,0.0,0.0,31.0,0.19
"Beef, rump steak, raw, lean",125,4.1,1.70,0.0,0.0,0.0,0.0,22.0,0.15
"Beef, rump steak, raw, lean and fat",174,10.1,4.30,0.0,0.0,0.0,0.0,20.7,0.14
"Beef, rump steak, strips, stir-fried in corn oil, lean",208,8.8,3.30,0.0,0.0,0.0,0.0,32.3,0.20
"Beef, rump steak, strips, stir-fried in corn oil, lean and fat",248,14.4,5.60,0.0,0.0,0.0,0.0,29.7,0.18
"Beef, silverside, pot-roasted, lean",193,6.3,2.50,0.0,0.0,0.0,0.0,34.0,0.15
"Beef, silverside, pot-roasted, lean and fat",247,13.7,5.60,0.0,0.0,0.0,0.0,31.0,0.14
"Beef, silverside, raw, lean",134,4.3,1.60,0.0,0.0,0.0,0.0,23.8,0.16
"Beef, silverside, raw, lean and fat",215,14.8,5.90,0.0,0.0,0.0,0.0,20.4,0.13
"Beef, silverside, salted, boiled, lean",184,6.9,2.50,0.0,0.0,0.0,0.0,30.4,2.55
"Beef, silverside, salted, boiled, lean and fat",224,12.5,4.70,0.0,0.0,0.0,0.0,27.9,2.35
"Beef, silverside, salted, raw, lean",140,7.0,2.50,0.0,0.0,0.0,0.0,19.2,1.60
"Beef, silverside, salted, raw, lean and fat",227,18.0,6.80,0.0,0.0,0.0,0.0,16.3,1.38
"Beef, sirloin joint, roasted, lean",188,6.5,2.90,0.0,0.0,0.0,0.0,32.4,0.14
"Beef, sirloin joint, roasted, lean and fat",233,12.6,5.60,0.0,0.0,0.0,0.0,29.8,0.13
"Beef, sirloin steak, fried in corn oil, lean",189,8.2,3.40,0.0,0.0,0.0,0.0,28.8,0.17
"Beef, sirloin steak, fried in corn oil, lean and fat",233,14.0,6.00,0.0,0.0,0.0,0.0,26.8,0.16
"Beef, sirloin steak, from steakhouse, lean",172,5.1,2.20,0.0,0.0,0.0,0.0,31.5,0.19
"Beef, sirloin steak, from steakhouse, lean and fat",215,10.7,4.60,0.0,0.0,0.0,0.0,29.6,0.18
"Beef, sirloin steak, grilled medium-rare, lean",176,7.7,3.40,0.0,0.0,0.0,0.0,26.6,0.16
"Beef, sirloin steak, grilled medium-rare, lean and fat",213,12.6,5.60,0.0,0.0,0.0,0.0,24.8,0.15
"Beef, sirloin steak, grilled rare, lean",166,6.7,3.00,0.0,0.0,0.0,0.0,26.4,0.16
"Beef, sirloin steak, grilled rare, lean and fat",216,12.8,5.80,0.0,0.0,0.0,0.0,25.1,0.15
"Beef, sirloin steak, grilled well-done, lean",225,9.9,4.40,0.0,0.0,0.0,0.0,33.9,0.20
"Beef, sirloin steak, grilled well-done, lean and fat",257,14.4,6.50,0.0,0.0,0.0,0.0,31.8,0.19
"Beef, sirloin steak, raw, lean",135,4.5,2.00,0.0,0.0,0.0,0.0,23.5,0.18
"Beef, sirloin steak, raw, lean and fat",201,12.7,5.60,0.0,0.0,0.0,0.0,21.6,0.16
"Beef, stewing steak, frozen, stewed, lean",195,8.5,3.10,0.0,0.0,0.0,0.0,29.7,0.12
"Beef, stewing steak, frozen, stewed, lean and fat",212,11.6,4.30,0.0,0.0,0.0,0.0,26.9,0.11
"Beef, stewing steak, pressure cooked, lean",199,6.5,2.40,0.0,0.0,0.0,0.0,35.1,0.15
"Beef, stewing steak, pressure cooked, lean and fat",217,9.0,3.40,0.0,0.0,0.0,0.0,34.0,0.15
"Beef, stewing steak, raw, lean",122,3.5,1.40,0.0,0.0,0.0,0.0,22.6,0.17
"Beef, stewing steak, raw, lean and fat",146,6.4,2.60,0.0,0.0,0.0,0.0,22.1,0.17
"Beef, stewing steak, stewed, lean",185,6.3,2.30,0.0,0.0,0.0,0.0,32.0,0.14
